	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
16SC18821Y	-0.07400000000000001	-0.267	-0.57	-1.885	-0.764	-0.527	-0.532	-0.746	-0.556	0.15	-0.35700000000000004	-0.711	-1.12	-0.639	-0.184	0.281	0.8590000000000001	-0.402	2.7030000000000003	2.398	-0.632	1.273	-0.941	-3.056
16SC18848Y	0.258	-0.33399999999999996	-1.568	-2.3040000000000003	-0.764	-1.449	0.053	-1.2790000000000001	0.8340000000000001	0.225	-0.08900000000000001	-0.77	-2.24	-0.183	0.506	1.037	2.177	-1.207	4.272	1.64	-0.738	2.053	-1.068	-28.5
16SC16946Y	0.14800000000000002	-0.46799999999999997	-1.425	-1.78	-0.764	-1.185	-0.266	-0.5329999999999999	-0.139	0.075	-0.08900000000000001	0.0	-1.68	-0.639	0.046	0.691	1.26	-0.966	3.4	2.524	-0.263	1.273	-0.434	-1.82
16SC19339Y	0.295	-0.535	-1.568	-2.3040000000000003	-1.146	-1.58	-0.585	-0.586	-0.324	0.225	0.17800000000000002	-0.5920000000000001	-1.288	-0.821	0.092	1.037	1.318	-0.885	4.795	3.533	0.053	1.6019999999999999	-1.014	-1.442
16SC15155Y	0.0	-0.802	-1.425	-0.9420000000000001	-0.478	-2.1069999999999998	-0.426	-1.2790000000000001	0.185	-0.299	0.08900000000000001	-0.948	-0.22399999999999998	-0.867	0.644	0.778	0.45799999999999996	-0.36200000000000004	2.616	0.379	0.58	1.4780000000000002	2.1	0.961
16SC18823Y	0.14800000000000002	-0.802	-1.2830000000000001	-2.199	-1.051	-1.58	-0.319	-0.426	-0.371	0.225	0.35700000000000004	-0.355	-1.568	0.091	-0.046	0.36700000000000005	1.49	-0.885	3.662	1.514	-0.105	1.93	-0.7240000000000001	-2.575
16SC16007Y	0.295	-0.602	-1.71	-2.199	-1.146	-1.975	-0.16	-1.0659999999999998	0.8340000000000001	0.0	-0.535	-1.54	-1.456	0.867	0.92	1.339	2.177	-1.65	5.492999999999999	2.082	0.369	2.259	-0.07200000000000001	4.739
16SC17430Y	0.14800000000000002	-0.267	-0.855	-1.78	-1.146	-1.317	-0.6920000000000001	-0.213	0.09300000000000001	0.15	-0.08900000000000001	-0.11800000000000001	-1.568	-0.091	0.414	0.691	1.146	-0.402	2.616	1.893	-0.263	1.109	-1.5659999999999998	-30.046
16SC14490Y	-0.295	-0.201	-2.423	-1.885	-1.719	-2.766	-0.37200000000000005	-1.811	0.324	-0.748	-0.268	-1.6580000000000001	-1.736	-1.278	-0.414	0.324	0.45799999999999996	-0.885	1.569	-0.946	0.263	2.218	-0.35600000000000004	-27.676
16SC16810Y	0.111	-0.46799999999999997	-3.136	-1.885	-1.146	-1.844	0.0	-0.5329999999999999	0.741	0.299	-0.446	-0.948	-1.344	-0.091	0.414	1.383	2.234	-1.368	4.795	1.767	0.316	2.012	0.652	5.254
